iter	Passed	Remaining
0	1	104
1	1	97
2	2	94
3	3	86
4	4	87
5	5	85
6	6	87
7	7	87
8	8	85
9	9	84
10	10	83
11	11	81
12	11	79
13	12	77
14	13	76
15	14	75
16	15	74
17	16	73
18	17	73
19	18	73
20	19	72
21	20	72
22	21	71
23	22	70
24	23	69
25	23	67
26	24	67
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	46
48	43	45
49	44	44
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
